#;domain;problem;run-on;heuristic;search-strategy;tot-time ;search-time ;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;satelite;instance 11;Ryusei;add+cg;eager_greedy;0,127311;0,104694;83704;3164;2834;32;1,01%;;31;31;96,88%;1;0;1
;satelite;instance 12;Ryusei;add+cg;eager_greedy;0,167585;0,137708;57980;5547;5005;44;0,79%;;43;43;97,73%;1;0;1
;satelite;instance 13;Ryusei;add+cg;eager_greedy;0,438735;0.366345s;145304;12529;11088;83;0,66%;;58;58;69,88%;1;0;1
;satelite;instance 14;Ryusei;add+cg;eager_greedy;0,352169;0,333727;58652;15318;12377;100;0,65%;;40;40;40,00%;1;0;1
;satelite;instance 15;Ryusei;add+cg;eager_greedy;1,15535;1,12963;60228;31879;27160;153;0,48%;;47;47;30,72%;1;0;1
;satelite;instance 16;Ryusei;add+cg;eager_greedy;0,887247;0,856771;60516;18112;17184;70;0,39%;;48;48;68,57%;1;0;1
;satelite;instance 17;Ryusei;add+cg;eager_greedy;2,32333;2,29138;63328;80300;54070;260;0,32%;;46;46;17,69%;1;0;1
;satelite;instance 18;Ryusei;add+cg;eager_greedy;0,114342;0,0992545;57996;4159;3755;33;0,79%;;32;32;96,97%;1;0;1
;satelite;instance 19;Ryusei;add+cg;eager_greedy;0,304744;0,2862;61396;8506;7567;65;0,76%;;62;62;95,38%;1;0;1
;satelite;instance 20;Ryusei;add+cg;eager_greedy;0,618221;0,595266;71488;22587;16947;172;0,76%;;88;88;51,16%;1;0;1
;din phil;instance 1;Gurpreet;add;lazy_greedy;0.0226659s;0.0162817s;56128;76;49;42;55,26%;;22;22;52,38%;1;6;1
;din phil;instance 2;Gurpreet;add;lazy_greedy;0.0268424s;0.0162831s;56260;960;556;334;34,79%;;33;33;9,88%;1;221;1
;din phil;instance 3;Gurpreet;add;lazy_greedy;0.0272571s;0.0220028s;56392;2878;1397;663;23,04%;;60;60;9,05%;1;773;1
;din phil;instance 4;Gurpreet;add;lazy_greedy;0.0604324s;0.055502s;56392;6270;2736;1047;16,70%;;71;71;6,78%;1;1688;1
;din phil;instance 5;Gurpreet;add;lazy_greedy;0.112092s;0.105021s;56128;16688;6249;2190;13,12%;;82;82;3,74%;1;4058;1
;din phil;instance 6;Gurpreet;add;lazy_greedy;0.281984s;0.270869s;57468;51327;15661;5618;10,95%;;93;93;1,66%;1;10042;1
;din phil;instance 7;Gurpreet;add;lazy_greedy;0.864016s;0.852049s;59000;174975;42950;16568;9,47%;;104;104;0,63%;1;26381;1
;din phil;instance 8;Gurpreet;add;lazy_greedy;3.19884s;3.18604s;65456;623643;125473;52249;8,38%;;115;115;0,22%;1;73223;1
;din phil;instance 9;Gurpreet;add;lazy_greedy;10.2493s;10.2381s;81680;2243213;380449;168810;7,53%;;126;126;0,07%;1;211638;1
;din phil;instance 10;Gurpreet;add;lazy_greedy;35.8803s;35.8593s;137828;8015609;1176329;547739;6,83%;;137;137;0,03%;1;628589;1
;din phil;instance 11;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1510270;0
;din phil;instance 12;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1256874;0
;din phil;instance 13;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1208080;0
;din phil;instance 14;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1123047;0
;din phil;instance 15;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1239235;0
;din phil;instance 16;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1034524;0
;din phil;instance 17;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1056125;0
;din phil;instance 18;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1125441;0
;din phil;instance 19;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;1239624;0
;din phil;instance 20;Gurpreet;add;lazy_greedy;;;;;;;;;;;#DIV/0!;0;923681;0
;din phil;instance 1;Gurpreet;cg;lazy_greedy;0.0086864s;0.0030212s;56260;132;79;76;57,58%;;22;22;28,95%;1;0;1
;din phil;instance 2;Gurpreet;cg;lazy_greedy;0.0098624s;0.0040834s;56392;452;188;186;41,15%;;33;33;17,74%;1;1;1
;din phil;instance 3;Gurpreet;cg;lazy_greedy;0.0600076s;0.0132175s;122864;1860;574;560;30,11%;;44;44;7,86%;1;13;1
;din phil;instance 4;Gurpreet;cg;lazy_greedy;0.116721s; 0.0589582s;139548;6579;1594;1524;23,16%;;55;55;3,61%;1;69;1
;din phil;instance 5;Gurpreet;cg;lazy_greedy;0.185705s;0.120661s;156628;22068;4394;4114;18,64%;;66;66;1,60%;1;279;1
;din phil;instance 6;Gurpreet;cg;lazy_greedy;0.44935s;0.374123s;173716;71871;12044;11090;15,43%;;77;77;0,69%;1;953;1
