#;domain;problem;run-on;heuristic;search-strategy;tot-time;search-time;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;airport;instance 16;Ryusei;cg;eager_greedy;6.96523s;6.92396s;131544;324141;238136;52397;16,16%;;81;81;0,15%;1;0;1
;airport;instance 17;Ryusei;cg;eager_greedy;34.3953s;34.3437s;210748;1350370;960053;180186;13,34%;;92;92;0,05%;1;0;1
;airport;instance 18;Ryusei;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;0;0
;airport;instance 19;Ryusei;cg;eager_greedy;43.962s;43.6838s;609484;1822976;1202490;229372;12,58%;;92;92;0,04%;1;0;1
;airport;instance 20;Ryusei;cg;eager_greedy;;;;;;;#DIV/0!;;;0;#DIV/0!;#DIV/0!;0;0
;airport;instance 1;Ryusei;add+cg;eager_greedy;0.00680079s;0.00234867s;57308;16;17;9;56,25%;;8;8;88,89%;1;0;1
;airport;instance 2;Ryusei;add+cg;eager_greedy;0.00720193s;0.00213173s;61020;20;20;11;55,00%;;9;9;81,82%;1;0;1
;airport;instance 3;Ryusei;add+cg;eager_greedy;0.0154798s;0.00434322s;68492;76;74;22;28,95%;;17;17;77,27%;1;0;1
;airport;instance 4;Ryusei;add+cg;eager_greedy;0.0113612s;0.00379567s;64704;40;41;21;52,50%;;20;20;95,24%;1;0;1
;airport;instance 5;Ryusei;add+cg;eager_greedy;0.0109962s;0.00625424s;56788;44;45;23;52,27%;;21;21;91,30%;1;0;1
;airport;instance 6;Ryusei;add+cg;eager_greedy;0.0516712s;0.0183155s;102388;240;228;61;25,42%;;41;41;67,21%;1;0;1
;airport;instance 7;Ryusei;add+cg;eager_greedy;0.0534189s;0.0222523s;102368;240;228;61;25,42%;;41;41;67,21%;1;0;1
;airport;instance 8;Ryusei;add+cg;eager_greedy;0.124261s;0.0868671s;108064;1599;1356;342;21,39%;;62;62;18,13%;1;0;1
;airport;instance 9;Ryusei;add+cg;eager_greedy;0.248554s;0.197158s;130560;3927;3052;662;16,86%;;73;73;11,03%;1;0;1
;airport;instance 10;Ryusei;add+cg;eager_greedy;0.00733522s;0.00329473s;56260;37;38;19;51,35%;;18;18;94,74%;1;0;1
;airport;instance 11;Ryusei;add+cg;eager_greedy;0.0100239s;0.00451042s;58980;44;45;23;52,27%;;21;21;91,30%;1;0;1
;airport;instance 12;Ryusei;add+cg;eager_greedy;0.0512482s;0.0193545s;99824;185;174;56;30,27%;;39;39;69,64%;1;0;1
;airport;instance 13;Ryusei;add+cg;eager_greedy;0.0481718s;0.0173652s;98716;211;200;54;25,59%;;37;37;68,52%;1;0;1
;airport;instance 14;Ryusei;add+cg;eager_greedy;0.104088s;0.0307462s;192088;348;323;90;25,86%;;60;60;66,67%;1;0;1
;airport;instance 15;Ryusei;add+cg;eager_greedy;0.117082s;0.0435299s;192092;478;458;92;19,25%;;58;58;63,04%;1;0;1
;airport;instance 16;Ryusei;add+cg;eager_greedy;0.190772s;0.147078s;109696;1952;1721;363;18,60%;;79;79;21,76%;1;0;1
;airport;instance 17;Ryusei;add+cg;eager_greedy;0.598901s;0.542311s;115532;7236;5882;1079;14,91%;;90;90;8,34%;1;0;1
;airport;instance 18;Ryusei;add+cg;eager_greedy;1.13548s;1.06677s;126772;10729;8945;1438;13,40%;;109;109;7,58%;1;0;1
;airport;instance 19;Ryusei;add+cg;eager_greedy;1.0868s;0.864445s;490732;9963;8322;1295;13,00%;;92;92;7,10%;1;0;1
;airport;instance 20;Ryusei;add+cg;eager_greedy;7.82669s;7.75176s;142408;81407;63337;9526;11,70%;;117;117;1,23%;1;0;1
;opt tel;instance 1;Marta;add;lazy_greedy;0.177671s;0.162684s;56988;12590;7266;2383;18,93%;;36;36;1,51%;1;4882;1
;opt tel;instance 2;Marta;add;lazy_greedy;3.25398s;3.23198s;62732;166657;87745;22918;13,75%;;54;54;0,24%;1;64826;1
;opt tel;instance 3;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 2;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 3;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;add+cg;lazy_greedy;1.14436s;1.1035s;68340;29504;9978;8290;28,10%;;36;36;0,43%;1;1687;1
;opt tel;instance 2;Marta;add+cg;lazy_greedy;12.51s;12.4642s;87032;613542;133202;112995;18,42%;;54;54;0,05%;1;20206;1
;opt tel;instance 3;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;add;eager_greedy;0.167671s;0.156669s;56984;11795;7310;2169;18,39%;;36;36;1,66%;1;4895;1
;opt tel;instance 2;Marta;add;eager_greedy;3.20327s;3.18402s;62624;150320;87837;19947;13,27%;;54;54;0,27%;1;64846;1
;opt tel;instance 3;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 2;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 3;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
