#;domain;problem;run-on;heuristic;search-strategy;tot-time;search-time;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;din phil;Instance 17;Gurpreet;cg;lazy_greedy;0.844828s;0.830221s;59784;199408;11700;11699;5,87%;;162;162;1,38%;1;0;1
;din phil;Instance 18;Gurpreet;cg;lazy_greedy;1.24861s;1.235s;60484;246617;13670;13669;5,54%;;171;171;1,25%;1;0;1
;din phil;Instance 19;Gurpreet;cg;lazy_greedy;1.18056s;1.16885s;61380;301797;15852;15851;5,25%;;180;180;1,14%;1;0;1
;din phil;Instance 20;Gurpreet;cg;lazy_greedy;1.42293s;1.40411s;62148;365817;18258;18257;4,99%;;189;189;1,04%;1;0;1
;din phil;Instance 1;Gurpreet;add+cg;lazy_greedy;0.0225519s;0.003985s;60744;66;41;40;60,61%;;18;18;45,00%;1;0;1
;din phil;Instance 2;Gurpreet;add+cg;lazy_greedy;0.0323945s;0.0162689s;60796;249;108;107;42,97%;;27;27;25,23%;1;0;1
;din phil;Instance 3;Gurpreet;add+cg;lazy_greedy;0.0292547s;0.0203311s;60780;650;206;205;31,54%;;36;36;17,56%;1;0;1
;din phil;Instance 4;Gurpreet;add+cg;lazy_greedy;0.0627814s;0.0492032s;56392;4630;1238;1237;26,72%;;61;61;4,93%;1;0;1
;din phil;Instance 5;Gurpreet;add+cg;lazy_greedy;0.124865s;0.0940516s;82784;8536;1819;1818;21,30%;;70;70;3,85%;1;0;1
;din phil;Instance 6;Gurpreet;add+cg;lazy_greedy;0.137778s;0.126912s;56788;14588;2581;2580;17,69%;;79;79;3,06%;1;0;1
;din phil;Instance 7;Gurpreet;add+cg;lazy_greedy;0.170025s;0.161994s;56924;23310;3519;3518;15,09%;;88;88;2,50%;1;0;1
;din phil;Instance 8;Gurpreet;add+cg;lazy_greedy;0.247788s;0.231998s;57236;34898;4584;4583;13,13%;;97;97;2,12%;1;0;1
;din phil;Instance 9;Gurpreet;add+cg;lazy_greedy;0.34387s;0.333043s;57592;50133;5824;5823;11,62%;;106;106;1,82%;1;0;1
;din phil;Instance 10;Gurpreet;add+cg;lazy_greedy;0.527475s;0.5163s;57980;69609;7244;7243;10,41%;;115;115;1,59%;1;0;1
;din phil;Instance 11;Gurpreet;add+cg;lazy_greedy;0.81044s;0.785616s;58516;94021;8859;8858;9,42%;;124;124;1,40%;1;0;1
;din phil;Instance 12;Gurpreet;add+cg;lazy_greedy;0.768122s;0.749083s;59052;124090;10681;10680;8,61%;;133;133;1,25%;1;0;1
;din phil;Instance 13;Gurpreet;add+cg;lazy_greedy;0.821634s;0.813528s;59732;160664;12731;12730;7,92%;;142;142;1,12%;1;0;1
;din phil;Instance 14;Gurpreet;add+cg;lazy_greedy;1.03955s;1.02575s;60436;204492;15011;15010;7,34%;;151;151;1,01%;1;0;1
;din phil;Instance 15;Gurpreet;add+cg;lazy_greedy;1.28395s;1.27112s;61520;256437;17532;17531;6,84%;;160;160;0,91%;1;0;1
;din phil;Instance 16;Gurpreet;add+cg;lazy_greedy;1.55579s;1.54103s;62484;317390;20305;20304;6,40%;;169;169;0,83%;1;0;1
;din phil;Instance 17;Gurpreet;add+cg;lazy_greedy;1.88245s;1.869s;63712;388302;23341;23340;6,01%;;178;178;0,76%;1;0;1
;din phil;Instance 18;Gurpreet;add+cg;lazy_greedy;2.20375s;2.19272s;65068;470152;26651;26650;5,67%;;187;187;0,70%;1;0;1
;din phil;Instance 19;Gurpreet;add+cg;lazy_greedy;2.71484s;2.69454s;67124;563979;30246;30246;5,36%;;196;196;0,65%;1;0;1
;din phil;Instance 20;Gurpreet;add+cg;lazy_greedy;3.51408s;3.49835s;68580;670863;34138;34137;5,09%;;205;205;0,60%;1;0;1
;din phil;instance 1;Gurpreet;add;eager_greedy;0.0118877s;0.0031588s;56128;45;44;24;53,33%;;18;18;75,00%;1;2;1
;din phil;instance 2;Gurpreet;add;eager_greedy;0.0087103s;0.0018211s;56128;129;125;45;34,88%;;27;27;60,00%;1;16;1
;din phil;instance 3;Gurpreet;add;eager_greedy;0.026407s;0.0155031s;56260;696;661;183;26,29%;;36;36;19,67%;1;210;1
;din phil;instance 4;Gurpreet;add;eager_greedy;0.0129192s;0.0117229s;56260;1381;1313;287;20,78%;;61;61;21,25%;1;549;1
;din phil;instance 5;Gurpreet;add;eager_greedy;0.0416259s;0.0261372s;56260;2002;1916;344;17,18%;;70;70;20,35%;1;907;1
;din phil;instance 6;Gurpreet;add;eager_greedy;0.0516765s;0.0463773s;56392;2765;2656;405;14,65%;;79;79;19,51%;1;1349;1
;din phil;instance 7;Gurpreet;add;eager_greedy;0.0581318s;0.0548351s;56536;3682;3544;470;12,76%;;88;88;18,72%;1;1879;1
;din phil;instance 8;Gurpreet;add;eager_greedy;0.0861422s;0.0803052s;56656;4765;4591;539;11,31%;;97;97;18,00%;1;2501;1
;din phil;instance 9;Gurpreet;add;eager_greedy;0.0983443s;0.0958685s;56712;6026;5808;612;10,16%;;106;106;17,32%;1;3219;1
;din phil;instance 10;Gurpreet;add;eager_greedy;0.156966s;0.150388s;56808;7477;7206;689;9,21%;;115;115;16,69%;1;4037;1
